model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,chewinggum,42,degradation,low_light,severe,none,0.5
PaDiM,VisA,chewinggum,42,rescue,low_light,severe,CLAHE,0.4900000095367431
PaDiM,VisA,chewinggum,42,rescue,low_light,severe,Retinex,0.5
PaDiM,VisA,chewinggum,42,degradation,gaussian_blur,mild,none,0.9453999996185304
PaDiM,VisA,chewinggum,42,rescue,gaussian_blur,mild,Wiener,0.5051000118255615
PaDiM,VisA,chewinggum,42,degradation,gaussian_blur,moderate,none,0.6854000091552734
PaDiM,VisA,chewinggum,42,rescue,gaussian_blur,moderate,Wiener,0.4742000102996826
PaDiM,VisA,chewinggum,42,degradation,gaussian_blur,severe,none,0.5758000612258911
PaDiM,VisA,chewinggum,42,rescue,gaussian_blur,severe,Wiener,0.6890000104904175
PaDiM,VisA,chewinggum,42,degradation,motion_blur,mild,none,0.9354000091552734
PaDiM,VisA,chewinggum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,chewinggum,42,degradation,motion_blur,moderate,none,0.6723999977111816
PaDiM,VisA,chewinggum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4946999847888946
PaDiM,VisA,chewinggum,42,degradation,motion_blur,severe,none,0.4391999840736389
PaDiM,VisA,chewinggum,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.535099983215332
PaDiM,VisA,chewinggum,42,degradation,sensor_noise,mild,none,0.7003999948501587
PaDiM,VisA,chewinggum,42,rescue,sensor_noise,mild,NLM Denoise,0.7416000366210938
