model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PatchCore,MVTec-AD,capsule,42,degradation,motion_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,capsule,42,degradation,motion_blur,mild,none,0.7235739827156067,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,capsule,42,degradation,motion_blur,moderate,none,0.7429198026657104,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,capsule,42,degradation,motion_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,capsule,42,degradation,sensor_noise,mild,none,0.7626644968986511,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,capsule,42,degradation,sensor_noise,moderate,none,0.6876745223999023,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,capsule,42,degradation,sensor_noise,severe,none,0.6437973976135254,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,capsule,42,degradation,sensor_noise,mild,none,0.5386916399002075,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,capsule,42,degradation,sensor_noise,moderate,none,0.5602313876152039,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,capsule,42,degradation,sensor_noise,severe,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,capsule,42,degradation,fog_haze,mild,none,0.5588352084159851,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,capsule,42,degradation,fog_haze,moderate,none,0.5,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,capsule,42,degradation,fog_haze,severe,none,0.5,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,capsule,42,degradation,fog_haze,mild,none,0.6074990034103394,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,capsule,42,degradation,fog_haze,moderate,none,0.49142399430274963,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,capsule,42,degradation,fog_haze,severe,none,0.4862385392189026,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,hazelnut,42,degradation,low_light,mild,none,0.9992858171463013,augmented_loco,leave_one_corruption_out,low_light
